model,dataset,batch_size,lr,weight_decay,num_layers,shall_data_reupload,uniform_range,epochs,seed_value,i_prune_iter,i_epoch,loss_train,acc_train,acc_valid,loss_valid,remaining_weights,acc_test,loss_test,test_step,sum_train_params
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,0,0.6890076398849487,0.692307710647583,0.9230769276618958,0.6810423135757446,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,1,0.6758161783218384,0.7980769276618958,0.38461539149284363,0.6660140156745911,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,2,0.6677760481834412,0.5192307829856873,0.38461539149284363,0.6504879593849182,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,3,0.6542631387710571,0.6634615659713745,0.692307710647583,0.6458153128623962,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,4,0.6481042504310608,0.807692289352417,0.692307710647583,0.6351207494735718,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,5,0.6391980051994324,0.8942307829856873,0.9230769276618958,0.6396217346191406,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,6,0.6263139843940735,0.875,0.692307710647583,0.6166809797286987,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,7,0.6135736703872681,0.7596153616905212,0.692307710647583,0.6060991883277893,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,8,0.6022607684135437,0.8269230723381042,0.7692307829856873,0.6056380867958069,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,9,0.5963436961174011,0.7884615659713745,0.692307710647583,0.5895246863365173,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,10,0.5889344215393066,0.9230769276618958,1.0,0.6028719544410706,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,11,0.5698146820068359,0.9230769276618958,0.692307710647583,0.5812048316001892,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,12,0.5632951259613037,0.7692307829856873,0.7692307829856873,0.5634753704071045,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,13,0.556546151638031,0.8461538553237915,0.9230769276618958,0.5660715699195862,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,14,0.5497327446937561,0.9519230723381042,0.9230769276618958,0.5700874924659729,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,15,0.5442159175872803,0.932692289352417,0.7692307829856873,0.5578559041023254,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,16,0.5348737239837646,0.9038461446762085,0.9230769276618958,0.5526238083839417,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,17,0.5242279767990112,0.9711538553237915,0.9230769276618958,0.5458086133003235,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,18,0.5158646106719971,0.9903846383094788,0.7692307829856873,0.5411260724067688,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,19,0.5390613079071045,0.682692289352417,0.692307710647583,0.5296638011932373,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,20,0.5196345448493958,0.942307710647583,0.8461538553237915,0.5625041127204895,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,21,0.4978930354118347,0.9807692170143127,0.7692307829856873,0.522396981716156,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,22,0.4906311631202698,0.8942307829856873,0.8461538553237915,0.5228354930877686,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,23,0.48236966133117676,0.9134615659713745,0.9230769276618958,0.5247786045074463,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,24,0.4863721430301666,1.0,0.9230769276618958,0.5161311030387878,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,25,0.4740077555179596,0.9807692170143127,0.8461538553237915,0.4998035132884979,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,26,0.4671083688735962,0.9903846383094788,0.9230769276618958,0.5067014098167419,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,27,0.4685066044330597,0.9134615659713745,0.9230769276618958,0.49556514620780945,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,28,0.45811927318573,1.0,0.9230769276618958,0.5027188062667847,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,29,0.44501885771751404,0.9807692170143127,0.8461538553237915,0.48122766613960266,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,30,0.44882234930992126,0.8942307829856873,0.9230769276618958,0.4884602427482605,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,31,0.43904775381088257,0.932692289352417,0.8461538553237915,0.4876726567745209,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,32,0.4381699860095978,0.9903846383094788,1.0,0.4821632504463196,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,33,0.4298659563064575,1.0,0.9230769276618958,0.4690789580345154,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,34,0.41679322719573975,0.9615384340286255,0.9230769276618958,0.46574777364730835,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,35,0.41874200105667114,0.9903846383094788,0.9230769276618958,0.45867687463760376,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,36,0.408995121717453,0.9807692170143127,0.9230769276618958,0.47089049220085144,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,37,0.40382152795791626,0.9615384340286255,0.9230769276618958,0.4455609619617462,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,38,0.4010169506072998,1.0,1.0,0.45170748233795166,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,39,0.3996245265007019,1.0,0.9230769276618958,0.4557287096977234,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,40,0.39416593313217163,0.942307710647583,0.9230769276618958,0.4395770728588104,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,41,0.3986568748950958,0.9807692170143127,0.8461538553237915,0.44080767035484314,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,42,0.3880422115325928,0.8942307829856873,0.8461538553237915,0.4451351761817932,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,43,0.3837554454803467,0.9903846383094788,1.0,0.433011531829834,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,44,0.36320221424102783,0.9519230723381042,0.9230769276618958,0.42621585726737976,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,45,0.36375144124031067,0.9519230723381042,1.0,0.424884170293808,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,46,0.3663732409477234,1.0,0.8461538553237915,0.4234454035758972,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,47,0.3676120340824127,0.932692289352417,1.0,0.4268195331096649,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,48,0.3905416429042816,1.0,0.8461538553237915,0.4243418276309967,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,0,49,0.36480823159217834,0.9711538553237915,0.9230769276618958,0.4403669536113739,100.0,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,1,0,0.6904692053794861,0.6538461446762085,0.9230769276618958,0.6856569051742554,51.3,0.4615384638309479,0.6708609461784363,6,548.0
BVQC,2wine,14,0.034116351302152584,0.0004883276632230364,14,False,0.7665926535897931,50,0,1,1,0.6801162362098694,0.7596153616905212,0.38461539149284363,0.6714372038841248,51.3,0.4615384638309479,0.6708609461784363,6,548.0
