model,dataset,batch_size,lr,weight_decay,num_layers,shall_data_reupload,uniform_range,epochs,seed_value,i_prune_iter,i_epoch,loss_train,acc_train,acc_valid,loss_valid,remaining_weights,acc_test,loss_test,test_step,sum_train_params
NN,2wine,16,0.015332376848592805,0.0003668485961234364,,,,50,0,0,0,0.5559948682785034,0.7980769276618958,1.0,0.3746819496154785,100.0,0.38461539149284363,0.7177444696426392,49,1570
NN,2wine,16,0.015332376848592805,0.0003668485961234364,,,,50,0,0,1,0.353203147649765,0.9615384340286255,1.0,0.31479233503341675,100.0,0.38461539149284363,0.7177444696426392,49,1570
NN,2wine,16,0.015332376848592805,0.0003668485961234364,,,,50,0,0,2,0.3325764536857605,0.9903846383094788,1.0,0.3137228786945343,100.0,0.38461539149284363,0.7177444696426392,49,1570
NN,2wine,16,0.015332376848592805,0.0003668485961234364,,,,50,0,0,3,0.3164570927619934,1.0,1.0,0.3133392632007599,100.0,0.38461539149284363,0.7177444696426392,49,1570
NN,2wine,16,0.015332376848592805,0.0003668485961234364,,,,50,0,0,4,0.3136211931705475,1.0,1.0,0.3132811188697815,100.0,0.38461539149284363,0.7177444696426392,49,1570
NN,2wine,16,0.015332376848592805,0.0003668485961234364,,,,50,0,0,5,0.3135557174682617,1.0,1.0,0.31327250599861145,100.0,0.38461539149284363,0.7177444696426392,49,1570
NN,2wine,16,0.015332376848592805,0.0003668485961234364,,,,50,0,0,6,0.3133055865764618,1.0,1.0,0.3132708966732025,100.0,0.38461539149284363,0.7177444696426392,49,1570
NN,2wine,16,0.015332376848592805,0.0003668485961234364,,,,50,0,0,7,0.31329402327537537,1.0,1.0,0.31327152252197266,100.0,0.38461539149284363,0.7177444696426392,49,1570
NN,2wine,16,0.015332376848592805,0.0003668485961234364,,,,50,0,0,8,0.31330254673957825,1.0,1.0,0.313273549079895,100.0,0.38461539149284363,0.7177444696426392,49,1570
NN,2wine,16,0.015332376848592805,0.0003668485961234364,,,,50,0,0,9,0.31329959630966187,1.0,1.0,0.31327688694000244,100.0,0.38461539149284363,0.7177444696426392,49,1570
NN,2wine,16,0.015332376848592805,0.0003668485961234364,,,,50,0,0,10,0.3133036196231842,1.0,1.0,0.31328171491622925,100.0,0.38461539149284363,0.7177444696426392,49,1570
NN,2wine,16,0.015332376848592805,0.0003668485961234364,,,,50,0,0,11,0.31331944465637207,1.0,1.0,0.31328827142715454,100.0,0.38461539149284363,0.7177444696426392,49,1570
NN,2wine,16,0.015332376848592805,0.0003668485961234364,,,,50,0,0,12,0.31332117319107056,1.0,1.0,0.31329697370529175,100.0,0.38461539149284363,0.7177444696426392,49,1570
NN,2wine,16,0.015332376848592805,0.0003668485961234364,,,,50,0,0,13,0.3133302330970764,1.0,1.0,0.3133084177970886,100.0,0.38461539149284363,0.7177444696426392,49,1570
NN,2wine,16,0.015332376848592805,0.0003668485961234364,,,,50,0,0,14,0.31337982416152954,1.0,1.0,0.31332334876060486,100.0,0.38461539149284363,0.7177444696426392,49,1570
